rank,username,influence_score,posts,followers,avg_likes,engagement_rate_60_days,new_post_avg_likes,total_likes,country
126,stephencurry30,84,1100,45400000,1100000.0,2.76,1200000.0,1200000000,Unknown
127,vancityreynolds,86,680,44800000,1400000.0,2.61,1200000.0,925700000,Unknown
128,maisa,42,1500,44500000,553000.0,0.67,294100.0,820100000,Brazil
129,luissuarez9,85,970,44200000,801800.0,0.96,414800.0,782500000,Unknown
130,gusttavolima,76,4900,43900000,475100.0,0.71,303900.0,2300000000,Brazil
131,jannatzubair29,84,1600,43800000,1300000.0,2.18,944300.0,2200000000,Unknown
132,varundvn,84,1900,43800000,1100000.0,1.48,640500.0,2000000000,India
133,hrithikroshan,85,580,43700000,1600000.0,3.82,1600000.0,949900000,Cã´Te D'Ivoire
134,nickyjampr,81,10000,43400000,381600.0,0.33,139300.0,3800000000,Colombia
135,buzzfeedtasty,85,8900,43200000,65099.99999999999,0.02,7700.0,580700000,Spain
136,brunamarquezine,84,3000,43100000,969700.0,1.05,444200.0,2900000000,United States
137,caradelevingne,86,4400,42900000,790200.0,0.43,181000.0,3500000000,United States
138,kapilsharma,83,950,42200000,736400.0,1.49,624500.0,710700000,Unknown
139,badbunnypr,83,10,42100000,3700000.0,13.09,5400000.0,67500000,Unknown
140,britneyspears,80,3000,42100000,513100.0,0.55,221700.0,1600000000,Turkey
141,j.m,83,20,41900000,14200000.0,26.41,11000000.0,368100000,Unknown
142,mariliamendoncacantora,73,1400,41800000,1000000.0,1.98,818600.0,1500000000,Brazil
143,norafatehi,83,1700,41600000,1400000.0,1.76,727500.0,2300000000,Anguilla
144,theweeknd,83,670,41500000,1100000.0,3.97,1600000.0,767000000,Unknown
145,dior,85,9700,41500000,88800.0,0.16,63600.0,863000000,Unknown
146,ranveersingh,85,1800,40800000,1000000.0,0.76,299300.0,1800000000,Switzerland
147,marinaruybarbosa,81,2100,40700000,586400.0,0.01,0.0,1200000000,Brazil
148,jenniferaniston,85,90,40700000,4600000.0,1.88,731000.0,452000000,Unknown
149,addisonraee,85,300,40100000,3100000.0,2.49,994400.0,957900000,Unknown
150,andresiniesta8,85,2000,40000000,250800.0,0.41,161700.0,500500000,Spain
151,princessyahrini,81,4500,40000000,118300.0,0.22,87400.0,529900000,Indonesia
152,liverpoolfc,75,10000,39900000,346700.0,0.42,162900.0,3500000000,United Kingdom
153,teddysphotos,80,2300,39900000,715500.0,0.46,181100.0,1700000000,United States
154,worldstar,78,11600,39200000,157400.0,0.23,84400.0,1800000000,United States
155,natashawilona12,84,1200,39200000,486500.0,0.59,227700.0,563900000,Unknown
156,mahi7781,58,100,39100000,4099999.9999999995,0.17,0.0,439400000,Unknown
157,georginagio,74,730,39100000,2200000.0,8.56,3300000.0,1600000000,Unknown
158,cznburak,80,1800,39000000,815800.0,1.01,383300.0,1400000000,Unknown
159,chrissyteigen,79,5100,38900000,623100.0,0.43,162100.0,3200000000,United States
160,ruben_onsu,75,13400,38800000,139300.0,0.13,49100.0,1900000000,Indonesia
161,wizkhalifa,80,500,38700000,398700.0,0.31,115700.0,199800000,United States
162,hm,83,7300,38500000,88400.0,0.06,22400.0,644100000,Sweden
163,anushkasen0408,85,5300,38300000,695400.0,1.75,658300.0,3700000000,Unknown
164,prattprattpratt,84,730,38300000,813500.0,1.0,363800.0,594700000,Unknown
165,marvelstudios,83,2700,38100000,594200.0,1.58,555900.0,1600000000,Unknown
166,wesleysafadao,80,8900,37400000,256100.00000000003,0.02,0.0,2300000000,Unknown
167,parineetichopra,84,1300,37400000,505700.0,0.68,246900.0,672100000,Unknown
168,rkive,83,110,37000000,10900000.0,0.0,0.0,1200000000,Unknown
169,laudyacynthiabella,76,380,36900000,172800.0,0.12,43400.0,66700000,Indonesia
170,antogriezmann,83,870,36500000,1100000.0,0.57,203600.0,955400000,France
171,gisel_la,85,9900,36500000,150500.0,0.1,33400.0,1500000000,Unknown
172,eminem,84,660,36400000,1100000.0,2.69,962700.0,730100000,United States
173,mercedesbenz,77,10000,36000000,197900.0,0.18,64599.99999999999,2000000000,British Virgin Islands
174,colesprouse,81,1200,35900000,2200000.0,2.34,834500.0,2600000000,Unknown
175,nattinatasha,47,30,35900000,518100.0,0.8,285900.0,18700000,Czech Republic
176,shahidkapoor,82,1100,35600000,1300000.0,2.54,780000.0,1500000000,Unknown
177,tigerjackieshroff,83,2100,35600000,1100000.0,1.2,422900.0,2200000000,India
178,kimberly.loaiza,78,590,35500000,2600000.0,5.23,1800000.0,1600000000,Mexico
179,barackobama,81,660,35400000,1100000.0,1.19,411500.0,739500000,United States
180,sachintendulkar,76,1000,35300000,800400.0,2.03,664500.0,810000000,Unknown
181,simonemendes,72,4400,35000000,420000.0,0.65,222900.0,1900000000,Brazil
182,ivetesangalo,84,7600,34800000,226400.0,0.36,121100.0,1700000000,Brazil
183,lunamaya,83,4100,34800000,145400.0,0.17,58600.0,589600000,Unknown
184,toni.kr8s,83,940,34700000,597200.0,1.68,533500.0,561300000,Unknown
185,dannapaola,68,1900,34700000,1500000.0,3.49,1200000.0,2800000000,Mexico
186,paollaoliveirareal,84,4600,34700000,367800.0,0.57,192300.0,1700000000,Unknown
187,blakelively,80,110,34600000,3100000.0,0.02,0.0,350900000,United States
188,adidasoriginals,83,150,34200000,136200.0,0.2,66800.0,21200000,Unknown
189,disney,77,7300,34200000,185200.0,0.44,132000.0,1400000000,United States
190,shaymitchell,83,6300,34100000,732400.0,0.73,247500.0,4600000000,United States
191,bmw,79,9300,33700000,231300.0,0.23,76500.0,2200000000,Germany
192,danbilzerian,84,1400,33600000,2000000.0,3.58,1200000.0,2800000000,Canada
193,khabib_nurmagomedov,63,4500,33500000,685100.0,0.67,220700.0,3100000000,Russia
194,zidane,41,370,33500000,1100000.0,1.61,532700.0,391900000,France
195,sonamkapoor,75,4800,33299999,264700.0,0.63,209200.0,1300000000,India
196,iambeckyg,71,2300,33200000,623800.0,1.4,464700.0,1400000000,United States
197,nancyajram,81,3800,33200000,390400.0,0.64,208000.0,1500000000,France
198,luansantana,79,770,33200000,193300.0,0.26,82600.0,149200000,Brazil
199,nickjonas,78,2300,33000000,719600.0,1.42,467700.0,1700000000,United States
200,raisa6690,80,4200,32799999,232200.0,0.3,97400.0,969100000,Indonesia
